LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
sq,sqrt,sqrt,cub,Random Intercept,-1279.2118558684745,0.501802788948124,FALSE
sqrt,sq,just,cub,Random Intercept,-1279.1667624245554,0.5568308117923023,FALSE
sqrt,cub,sqrt,cub,Random Intercept,-1279.0607369757358,0.48853412574062094,FALSE
cub,inv,inv_sqrt,cub,Random Intercept,-1279.0563205795208,0.4691583518549593,FALSE
just,sq,sqrt,cub,Random Intercept,-1278.9228623492104,0.5027133389912749,FALSE
sqrt,sqrt,sq,cub,Random Intercept,-1278.7588545193425,0.6423801384920624,FALSE
cub,inv_sqrt,inv_sqrt,cub,Random Intercept,-1278.7218714255214,0.46303331254165064,FALSE
inv_sqrt,sqrt,cub,cub,Random Intercept,-1278.5304344303916,0.7139392701805722,FALSE
log,just,sq,cub,Random Intercept,-1278.2904362016548,0.6630680218394638,FALSE
inv,just,cub,cub,Random Intercept,-1278.2079225684597,0.715718514951731,FALSE
sq,inv,just,cub,Random Intercept,-1278.1626127185045,0.5415450119539763,FALSE
sq,just,inv,cub,Random Intercept,-1278.1033688454577,0.42308487444715015,FALSE
inv_sqrt,sq,sq,cub,Random Intercept,-1277.9670730060236,0.6436743610356044,FALSE
just,cub,inv_sqrt,cub,Random Intercept,-1277.9458480283038,0.41020856923341026,FALSE
sq,inv_sqrt,just,cub,Random Intercept,-1277.851237950216,0.5339692966914747,FALSE
cub,inv,inv,cub,Random Intercept,-1277.6398201241761,0.4483456525364517,FALSE
just,inv,sq,cub,Random Intercept,-1277.4569904067182,0.6338471128638138,FALSE
log,inv,cub,cub,Random Intercept,-1277.2708840804958,0.7202038749177995,FALSE
cub,inv_sqrt,inv,cub,Random Intercept,-1277.266459000286,0.44122808950747,FALSE
sq,just,log,cub,Random Intercept,-1277.0432461451323,0.47141706084781165,FALSE
just,inv_sqrt,sq,cub,Random Intercept,-1277.0330870857,0.6255883329720687,FALSE
just,cub,inv,cub,Random Intercept,-1276.9233643337316,0.3825044341507153,FALSE
log,inv_sqrt,cub,cub,Random Intercept,-1276.655479242714,0.7126373078931961,FALSE
cub,inv,log,cub,Random Intercept,-1276.622253221561,0.48555391789578517,FALSE
log,cub,just,cub,Random Intercept,-1276.5868047739475,0.5415030560853871,FALSE
cub,inv_sqrt,log,cub,Random Intercept,-1276.3295975136743,0.4801685397858511,FALSE
sq,just,sqrt,cub,Random Intercept,-1275.9128871217476,0.48413396347421217,FALSE
cub,log,inv_sqrt,cub,Random Intercept,-1275.5353023443724,0.45494915010857234,FALSE
cub,inv,sqrt,cub,Random Intercept,-1275.436150076747,0.49420480232687253,FALSE
inv,cub,sq,cub,Random Intercept,-1275.4082806121276,0.6169455250625584,FALSE
just,cub,log,cub,Random Intercept,-1275.3443251926765,0.43669769719459,FALSE
cub,inv_sqrt,sqrt,cub,Random Intercept,-1275.1727443199352,0.4891174185149188,FALSE
sqrt,just,sq,cub,Random Intercept,-1275.1155835060667,0.6177163895376948,FALSE
cub,sqrt,inv_sqrt,cub,Random Intercept,-1275.0765070419782,0.4460839571790102,FALSE
